Krebsart;Alter;Geschlecht;Prävalenzzeitraum;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Mesotheliom (C45);45 - 54;männlich;1;34;34;38;46;37;34;38;28;31;35;35;25;32;30;26;26
Mesotheliom (C45);55 - 64;weiblich;1;37;35;38;34;29;40;34;28;29;36;27;35;32;30;27;24
Mesotheliom (C45);55 - 64;männlich;1;195;159;178;171;152;144;133;120;111;107;101;103;79;81;79;61
Mesotheliom (C45);65 - 74;weiblich;1;69;68;84;67;64;69;83;78;79;75;52;76;55;44;52;43
Mesotheliom (C45);65 - 74;männlich;1;281;302;310;374;365;340;333;306;309;312;323;303;230;259;224;195
Mesotheliom (C45);75 und älter;weiblich;1;94;92;119;95;93;108;108;111;104;100;102;124;114;104;118;94
Mesotheliom (C45);75 und älter;männlich;1;254;251;279;301;274;321;359;325;332;354;426;421;435;490;440;472
Weichteilgewebe ohne Mesotheliom (C46-C49);0 - 44;weiblich;1;280;295;290;262;278;280;261;266;239;284;282;250;259;251;252;272
Weichteilgewebe ohne Mesotheliom (C46-C49);0 - 44;männlich;1;354;365;318;318;331;336;362;370;339;417;337;351;321;320;287;334
Weichteilgewebe ohne Mesotheliom (C46-C49);45 - 54;weiblich;1;181;185;196;173;197;209;210;231;200;247;233;259;237;238;231;222
Weichteilgewebe ohne Mesotheliom (C46-C49);45 - 54;männlich;1;192;228;183;170;254;254;263;257;282;343;280;262;274;251;191;218
Weichteilgewebe ohne Mesotheliom (C46-C49);55 - 64;weiblich;1;254;257;248;229;245;298;275;268;274;270;328;318;322;324;358;355
Weichteilgewebe ohne Mesotheliom (C46-C49);55 - 64;männlich;1;288;267;285;232;266;254;317;314;316;392;338;334;360;360;346;357
Weichteilgewebe ohne Mesotheliom (C46-C49);65 - 74;weiblich;1;335;371;358;338;385;468;488;497;388;417;453;417;364;387;408;416
Weichteilgewebe ohne Mesotheliom (C46-C49);65 - 74;männlich;1;437;373;399;421;373;463;425;512;423;513;451;461;458;423;480;483
Weichteilgewebe ohne Mesotheliom (C46-C49);75 und älter;weiblich;1;400;415;437;362;385;389;383;398;469;462;502;506;507;541;583;558
Weichteilgewebe ohne Mesotheliom (C46-C49);75 und älter;männlich;1;333;227;348;290;343;459;425;445;489;546;565;627;638;561;678;763
Brustdrüse (C50);0 - 44;weiblich;1;6.975;7.124;7.309;7.387;7.522;7.579;7.438;7.128;7.059;6.983;6.680;6.535;6.372;6.347;6.390;6.315
Brustdrüse (C50);0 - 44;männlich;1;23;27;23;24;20;25;29;18;26;22;18;20;25;26;23;24
Brustdrüse (C50);45 - 54;weiblich;1;10.539;10.668;11.337;12.136;13.880;14.733;14.271;14.441;14.721;14.989;14.849;14.670;14.354;13.567;13.912;13.260
Brustdrüse (C50);45 - 54;männlich;1;44;46;42;50;42;54;52;47;65;63;68;59;70;57;62;60
